EventTitle,URL
A Champion Will Be Crowned,https://www.ufc.com/event/the-ultimate-fighter-a-champion-will-be-crowned
Hendricks vs Lawler II,https://www.ufc.com/event/ufc-181
Edgar vs Swanson,https://www.ufc.com/event/ufc-fight-night-austin
Werdum vs Hunt,https://www.ufc.com/event/ufc-180
Shogun vs Saint Preux,https://www.ufc.com/event/ufc-fight-night-uberlandia
Rockhold vs Bisping,https://www.ufc.com/event/ufc-fight-night-sydney-australia
Aldo vs Mendes 2,https://www.ufc.com/event/ufc-179
Saffiedine vs MacDonald,https://www.ufc.com/event/ufc-fight-night-halifax
Nelson vs Story,https://www.ufc.com/event/ufc-fight-night-stockholm
Johnson vs Cariaso,https://www.ufc.com/event/ufc-178
Hunt vs Nelson,https://www.ufc.com/event/ufc-fight-night-127
